0.01,-1.18
0.02,-0.88
0.03,-0.68
0.04,-0.53
0.05,-0.41
0.06,-0.31
0.07,-0.22
0.08,-0.14
0.09,-0.07
0.1,0
0.11,0.06
0.12,0.12
0.13,0.18
0.14,0.23
0.15,0.28
0.16,0.33
0.17,0.37
0.18,0.42
0.19,0.46
0.2,0.5
0.21,0.54
0.22,0.58
0.23,0.62
0.24,0.66
0.25,0.7
0.26,0.73
0.27,0.77
0.28,0.8
0.29,0.83
0.3,0.87
0.31,0.9
0.32,0.93
0.33,0.97
0.34,1
0.35,1.03
0.36,1.06
0.37,1.09
0.38,1.12
0.39,1.15
0.4,1.18
0.41,1.21
0.42,1.24
0.43,1.27
0.44,1.3
0.45,1.33
0.46,1.36
0.47,1.39
0.48,1.42
0.49,1.45
0.5,1.47
0.51,1.5
0.52,1.53
0.53,1.56
0.54,1.59
0.55,1.62
0.56,1.65
0.57,1.68
0.58,1.71
0.59,1.74
0.6,1.77
0.61,1.8
0.62,1.83
0.63,1.86
0.64,1.89
0.65,1.92
0.66,1.96
0.67,1.99
0.68,2.02
0.69,2.05
0.7,2.09
0.71,2.12
0.72,2.16
0.73,2.19
0.74,2.23
0.75,2.26
0.76,2.3
0.77,2.34
0.78,2.38
0.79,2.42
0.8,2.46
0.81,2.5
0.82,2.55
0.83,2.59
0.84,2.64
0.85,2.69
0.86,2.74
0.87,2.8
0.88,2.86
0.89,2.92
0.9,2.98
0.91,3.05
0.92,3.13
0.93,3.22
0.94,3.31
0.95,3.42
0.96,3.55
0.97,3.7
0.98,3.91
0.99,4.25
1,5
